70	sample1_nopolyA_ext70_cluster_6435	chrM	9327	9396	70:1	+	1	chrM	2k_up	7876	9875	+	.	NM_001163773	Gm10222	Gm10222:chrM:9876-10417:+
70	sample1_nopolyA_ext70_cluster_5439	chr7	66513643	66513712	70:1	+	1	chr7	intron	66502588	66527316	+	.	NM_173010	Ube3a	Ube3a:chr7:66484120-66562097:+
70	sample1_nopolyA_ext70_cluster_527	chr10	66678553	66678622	70:2	+	2	chr10	intron	66678124	66679730	+	.	NM_207221	Jmjd1c	Jmjd1c:chr10:66590006-66719073:+
70	sample1_nopolyA_ext70_cluster_6358	chr9	66703994	66704063	70:2	-	2	chr9	intron	66702553	66708643	-	.	NM_173413	Rab8b	Rab8b:chr9:66691471-66767494:-
70	sample1_nopolyA_ext70_cluster_2876	chr17	66781812	66781881	70:2	-	2	chr17	intron	66735260	66785419	-	.	NM_001114098	1110012J17Rik	1110012J17Rik:chr17:66686322-66799090:-
70	sample1_nopolyA_ext70_cluster_2876	chr17	66781812	66781881	70:2	-	2	chr17	intron	66735260	66785419	-	.	NM_172963	1110012J17Rik	1110012J17Rik:chr17:66686322-66799090:-
70	sample1_nopolyA_ext70_cluster_3898	chr3	66817526	66817595	70:3	+	3	chr3	intron	66800513	66886457	+	.	NM_025822	Rsrc1	Rsrc1:chr3:66789594-67162325:+
70	sample1_nopolyA_ext70_cluster_2588	chr16	66871052	66871121	70:3	-	3	chr16	intron	66815707	66882977	-	.	NM_001145977	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2588	chr16	66871052	66871121	70:3	-	3	chr16	intron	66815707	66882977	-	.	NM_178721	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_852	chr11	66910481	66910550	70:2	+	2	chr11	CDS	66910377	66910560	+	2	NM_001099635	Myh3	Myh3:chr11:66891802-66915793:+
70	sample1_nopolyA_ext70_cluster_852	chr11	66910481	66910550	70:2	+	2	chr11	exon	66910377	66910560	+	2	NM_001099635	Myh3	Myh3:chr11:66891802-66915793:+
70	sample1_nopolyA_ext70_cluster_2589	chr16	67177710	67177779	70:3	-	3	chr16	intron	66883128	67620415	-	.	NM_001145977	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2589	chr16	67177710	67177779	70:3	-	3	chr16	intron	66953546	67620415	-	.	NM_178721	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2989	chr18	67293768	67293837	70:3	+	3	chr18	intron	67248528	67293866	+	.	NM_177137	Gnal	Gnal:chr18:67247990-67386445:+
70	sample1_nopolyA_ext70_cluster_2989	chr18	67293768	67293837	70:3	+	3	chr18	intron	67293625	67293866	+	.	NM_010307	Gnal	Gnal:chr18:67247990-67386445:+
70	sample1_nopolyA_ext70_cluster_2590	chr16	67312839	67312908	70:3	-	3	chr16	intron	66883128	67620415	-	.	NM_001145977	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2590	chr16	67312839	67312908	70:3	-	3	chr16	intron	66953546	67620415	-	.	NM_178721	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_3398	chr2	67330259	67330328	70:1	+	1	chr2	intron	67320441	67343090	+	.	NM_001024618	Xirp2	Xirp2:chr2:67284059-67364663:+
70	sample1_nopolyA_ext70_cluster_3398	chr2	67330259	67330328	70:1	+	1	chr2	intron	67320441	67343090	+	.	NM_001083919	Xirp2	Xirp2:chr2:67284059-67364663:+
70	sample1_nopolyA_ext70_cluster_4674	chr5	67346380	67346449	70:3	+	3	chr5	intron	67345015	67350826	+	.	NM_001001980	Limch1	Limch1:chr5:67137079-67448398:+
70	sample1_nopolyA_ext70_cluster_2877	chr17	67346875	67346944	70:1	-	1	chr17	intron	67306459	67391434	-	.	NM_008984	Ptprm	Ptprm:chr17:67016189-67703799:-
70	sample1_nopolyA_ext70_cluster_5975	chr8	67359199	67359268	70:1	-	1	chr8	intron	67358468	67373530	-	.	NM_178633	Klhl2	Klhl2:chr8:67218659-67373716:-
70	sample1_nopolyA_ext70_cluster_2591	chr16	67374663	67374732	70:1	-	1	chr16	intron	66883128	67620415	-	.	NM_001145977	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2591	chr16	67374663	67374732	70:1	-	1	chr16	intron	66953546	67620415	-	.	NM_178721	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_6360	chr9	67387484	67387553	70:1	-	1	chr9	intron	67307797	67407420	-	.	NM_001081242	Tln2	Tln2:chr9:67064892-67407510:-
70	sample1_nopolyA_ext70_cluster_1721	chr13	67432367	67432436	70:2	-	2	chr13	intron	67421891	67433402	-	.	NM_177622	Zfp595	Zfp595:chr13:67413934-67433496:-
68	sample1_nopolyA_ext70_cluster_2026	chr14	67447609	67447678	70:1	-	1	chr14	CDS	67447608	67447676	-	0	NM_009955	Dpysl2	Dpysl2:chr14:67421701-67487437:-
68	sample1_nopolyA_ext70_cluster_2026	chr14	67447609	67447678	70:1	-	1	chr14	exon	67447608	67447676	-	0	NM_009955	Dpysl2	Dpysl2:chr14:67421701-67487437:-
2	sample1_nopolyA_ext70_cluster_2026	chr14	67447609	67447678	70:1	-	1	chr14	intron	67447677	67448198	-	.	NM_009955	Dpysl2	Dpysl2:chr14:67421701-67487437:-
70	sample1_nopolyA_ext70_cluster_853	chr11	67494879	67494948	70:1	+	1	chr11	intron	67494807	67496136	+	.	NM_001109657	Gas7	Gas7:chr11:67346500-67502494:+
70	sample1_nopolyA_ext70_cluster_853	chr11	67494879	67494948	70:1	+	1	chr11	intron	67494807	67496136	+	.	NM_008088	Gas7	Gas7:chr11:67346500-67502494:+
70	sample1_nopolyA_ext70_cluster_2592	chr16	67605272	67605341	70:1	-	1	chr16	intron	66883128	67620415	-	.	NM_001145977	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_2592	chr16	67605272	67605341	70:1	-	1	chr16	intron	66953546	67620415	-	.	NM_178721	Cadm2	Cadm2:chr16:66655670-67621153:-
70	sample1_nopolyA_ext70_cluster_6166	chr9	67705607	67705676	70:2	+	2	chr9	intron	67701546	67706596	+	.	NM_177184	Vps13c	Vps13c:chr9:67688203-67843441:+
70	sample1_nopolyA_ext70_cluster_1722	chr13	67727411	67727480	70:1	-	1	chr13	intron	67725099	67738583	-	.	NM_183146	A530054K11Rik	A530054K11Rik:chr13:67717938-67738690:-
70	sample1_nopolyA_ext70_cluster_4676	chr5	67731431	67731500	70:1	+	1	chr5	intron	67731246	67733332	+	.	NM_178651	Slc30a9	Slc30a9:chr5:67698196-67747384:+
70	sample1_nopolyA_ext70_cluster_1380	chr12	67736082	67736151	70:3	-	3	chr12	intron	67731186	67756094	-	.	NM_207010	Mdga2	Mdga2:chr12:67572172-68322190:-
70	sample1_nopolyA_ext70_cluster_1036	chr11	67771171	67771240	70:1	-	1	chr11	intron	67767674	67779023	-	.	NM_027963	Wdr16	Wdr16:chr11:67738308-67779144:-
70	sample1_nopolyA_ext70_cluster_1381	chr12	67870237	67870306	70:4	-	4	chr12	intron	67824117	67898614	-	.	NM_207010	Mdga2	Mdga2:chr12:67572172-68322190:-
70	sample1_nopolyA_ext70_cluster_2301	chr15	67946379	67946448	70:2	-	2	chr15	intron	67942125	67950497	-	.	NM_001145888	Zfat	Zfat:chr15:67915301-68090418:-
70	sample1_nopolyA_ext70_cluster_2301	chr15	67946379	67946448	70:2	-	2	chr15	intron	67942125	67950497	-	.	NM_198644	Zfat	Zfat:chr15:67915301-68090418:-
70	sample1_nopolyA_ext70_cluster_2993	chr18	68041315	68041384	70:1	+	1	chr18	intron	68040997	68044392	+	.	NM_027556	Cep192	Cep192:chr18:67959761-68044822:+
70	sample1_nopolyA_ext70_cluster_2302	chr15	68053830	68053899	70:1	-	1	chr15	intron	68044407	68056328	-	.	NM_001145888	Zfat	Zfat:chr15:67915301-68090418:-
70	sample1_nopolyA_ext70_cluster_2302	chr15	68053830	68053899	70:1	-	1	chr15	intron	68044407	68056328	-	.	NM_198644	Zfat	Zfat:chr15:67915301-68090418:-
70	sample1_nopolyA_ext70_cluster_3899	chr3	68142750	68142819	70:1	+	1	chr3	intron	67859321	68298495	+	.	NM_001113419	Schip1	Schip1:chr3:67696154-68430404:+
70	sample1_nopolyA_ext70_cluster_3899	chr3	68142750	68142819	70:1	+	1	chr3	intron	67868930	68298495	+	.	NM_001113421	Schip1	Schip1:chr3:67696154-68430404:+
70	sample1_nopolyA_ext70_cluster_3899	chr3	68142750	68142819	70:1	+	1	chr3	intron	67868930	68400071	+	.	NM_001113420	Schip1	Schip1:chr3:67696154-68430404:+
70	sample1_nopolyA_ext70_cluster_1382	chr12	68145706	68145775	70:1	-	1	chr12	intron	67969794	68321956	-	.	NM_207010	Mdga2	Mdga2:chr12:67572172-68322190:-
70	sample1_nopolyA_ext70_cluster_5808	chr8	68203446	68203515	70:3	+	3	chr8	intron	68142663	68403228	+	.	NM_175188	March1	March1:chr8:68142424-68994326:+
70	sample1_nopolyA_ext70_cluster_1383	chr12	68205749	68205818	70:1	-	1	chr12	intron	67969794	68321956	-	.	NM_207010	Mdga2	Mdga2:chr12:67572172-68322190:-
70	sample1_nopolyA_ext70_cluster_2995	chr18	68356598	68356667	70:1	+	1	chr18	intron	68266346	68395308	+	.	NM_172631	D18Ertd653e	D18Ertd653e:chr18:68092911-68415203:+
70	sample1_nopolyA_ext70_cluster_2996	chr18	68386152	68386221	70:1	+	1	chr18	intron	68266346	68395308	+	.	NM_172631	D18Ertd653e	D18Ertd653e:chr18:68092911-68415203:+
70	sample1_nopolyA_ext70_cluster_2028	chr14	68446660	68446729	70:2	-	2	chr14	intron	68446561	68450274	-	.	NM_177780	Dock5	Dock5:chr14:68369985-68551629:-
70	sample1_nopolyA_ext70_cluster_6167	chr9	68537161	68537230	70:4	+	4	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_306	chr1	68538856	68538925	70:1	-	1	chr1	intron	68442890	68607069	-	.	NM_010154	Erbb4	Erbb4:chr1:68086540-69154633:-
70	sample1_nopolyA_ext70_cluster_5809	chr8	68545919	68545988	70:2	+	2	chr8	intron	68491155	68800560	+	.	NM_175188	March1	March1:chr8:68142424-68994326:+
70	sample1_nopolyA_ext70_cluster_4448	chr4	68552316	68552385	70:1	-	1	chr4	intron	68502442	68565770	-	.	NM_019967	Dbc1	Dbc1:chr4:68422406-68615431:-
70	sample1_nopolyA_ext70_cluster_6168	chr9	68606225	68606294	70:1	+	1	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_6169	chr9	68655420	68655489	70:2	+	2	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_6170	chr9	68686964	68687033	70:1	+	1	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_2179	chr15	68792169	68792238	70:1	+	1	chr15	intron	68759264	68825481	+	.	NM_010158	Khdrbs3	Khdrbs3:chr15:68758850-68923948:+
70	sample1_nopolyA_ext70_cluster_3901	chr3	68813841	68813910	70:10	+	10	chr3	intron	68813583	68820014	+	.	NM_133786	Smc4	Smc4:chr3:68808894-68838545:+
70	sample1_nopolyA_ext70_cluster_1726	chr13	68816453	68816522	70:2	-	2	chr13	intron	68810889	68817353	-	.	NM_153534	Adcy2	Adcy2:chr13:68758920-69138419:-
70	sample1_nopolyA_ext70_cluster_6171	chr9	68823713	68823782	70:1	+	1	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_2180	chr15	68827627	68827696	70:2	+	2	chr15	intron	68825601	68843787	+	.	NM_010158	Khdrbs3	Khdrbs3:chr15:68758850-68923948:+
70	sample1_nopolyA_ext70_cluster_6172	chr9	68883143	68883212	70:2	+	2	chr9	intron	68501780	69043881	+	.	NM_013646	Rora	Rora:chr9:68501609-69226835:+
70	sample1_nopolyA_ext70_cluster_5810	chr8	68922106	68922175	70:1	+	1	chr8	intron	68910419	68942714	+	.	NM_175188	March1	March1:chr8:68142424-68994326:+
36	sample1_nopolyA_ext70_cluster_855	chr11	68924422	68924491	70:5	+	5	chr11	1k_dn	68923458	68924457	+	.	NM_001159367	Per1	Per1:chr11:68912458-68923457:+
36	sample1_nopolyA_ext70_cluster_855	chr11	68924422	68924491	70:5	+	5	chr11	1k_dn	68923458	68924457	+	.	NM_011065	Per1	Per1:chr11:68912458-68923457:+
18	sample1_nopolyA_ext70_cluster_856	chr11	68937744	68937813	70:1	+	1	chr11	1k_dn	68936762	68937761	+	.	NM_033041	Hes7	Hes7:chr11:68933955-68936761:+
70	sample1_nopolyA_ext70_cluster_307	chr1	68949614	68949683	70:1	-	1	chr1	intron	68787108	69154248	-	.	NM_010154	Erbb4	Erbb4:chr1:68086540-69154633:-
70	sample1_nopolyA_ext70_cluster_6501	chrX	69231065	69231134	70:1	+	1	chrX	intron	69228612	69232973	+	.	NR_003243	Fate1	Fate1:chrX:69218325-69234385:+
70	sample1_nopolyA_ext70_cluster_858	chr11	69586826	69586895	70:3	+	3	chr11	intron	69579588	69588877	+	.	NM_029348	Zbtb4	Zbtb4:chr11:69579414-69597528:+
70	sample1_nopolyA_ext70_cluster_308	chr1	69626853	69626922	70:2	-	2	chr1	intron	69624622	69729783	-	.	NM_011770	Ikzf2	Ikzf2:chr1:69577784-69732534:-
70	sample1_nopolyA_ext70_cluster_3000	chr18	69773082	69773151	70:1	+	1	chr18	intron	69724339	69793230	+	.	NM_001083967	Tcf4	Tcf4:chr18:69504146-69847621:+
70	sample1_nopolyA_ext70_cluster_3000	chr18	69773082	69773151	70:1	+	1	chr18	intron	69724339	69793230	+	.	NM_013685	Tcf4	Tcf4:chr18:69504146-69847621:+
70	sample1_nopolyA_ext70_cluster_3902	chr3	69813621	69813690	70:3	+	3	chr3	intron	69811656	69822407	+	.	NM_001018031	Gm414	Gm414:chr3:69811535-69832626:+
70	sample1_nopolyA_ext70_cluster_6173	chr9	69861274	69861343	70:1	+	1	chr9	intron	69860469	69863098	+	.	NM_001039519	Gtf2a2	Gtf2a2:chr9:69860357-69870654:+
70	sample1_nopolyA_ext70_cluster_4450	chr4	70008039	70008108	70:1	-	1	chr4	intron	69998594	70010177	-	.	NM_145990	Cdk5rap2	Cdk5rap2:chr4:69884058-70071401:-
70	sample1_nopolyA_ext70_cluster_3405	chr2	70079677	70079746	70:1	+	1	chr2	intron	70077017	70082903	+	.	NM_177376	Myo3b	Myo3b:chr2:69877183-70267252:+
70	sample1_nopolyA_ext70_cluster_6174	chr9	70088040	70088109	70:1	+	1	chr9	intron	70055511	70134718	+	.	NM_181072	Myo1e	Myo1e:chr9:70055157-70247874:+
7	sample1_nopolyA_ext70_cluster_6626	chrX	70165677	70165746	70:2	-	2	chrX	2k_up	70163684	70165683	-	.	NM_019405	Cetn2	Cetn2:chrX:70158904-70163683:-
70	sample1_nopolyA_ext70_cluster_3103	chr18	70198207	70198276	70:3	-	3	chr18	intron	70155895	70212779	-	.	NM_030554	Rab27b	Rab27b:chr18:70138785-70301244:-
70	sample1_nopolyA_ext70_cluster_3103	chr18	70198207	70198276	70:3	-	3	chr18	intron	70155895	70300971	-	.	NM_001082553	Rab27b	Rab27b:chr18:70138785-70301244:-
70	sample1_nopolyA_ext70_cluster_6363	chr9	70305395	70305464	70:1	-	1	chr9	intron	70301625	70305630	-	.	NM_033604	Rnf111	Rnf111:chr9:70273236-70351532:-
70	sample1_nopolyA_ext70_cluster_5981	chr8	70308142	70308211	70:2	-	2	chr8	intron	70282165	70314796	-	.	NM_027626	Psd3	Psd3:chr8:70212981-70498473:-
70	sample1_nopolyA_ext70_cluster_5981	chr8	70308142	70308211	70:2	-	2	chr8	intron	70282165	70314796	-	.	NM_030263	Psd3	Psd3:chr8:70212981-70498473:-
70	sample1_nopolyA_ext70_cluster_5981	chr8	70308142	70308211	70:2	-	2	chr8	intron	70282165	70314796	-	.	NM_177698	Psd3	Psd3:chr8:70212981-70498473:-
70	sample1_nopolyA_ext70_cluster_1386	chr12	70459641	70459710	70:1	-	1	chr12	2k_up	70458154	70460153	-	.	NM_025441	Sdccag1	Sdccag1:chr12:70412530-70458153:-
70	sample1_nopolyA_ext70_cluster_5982	chr8	70482313	70482382	70:3	-	3	chr8	intron	70432789	70484285	-	.	NM_177698	Psd3	Psd3:chr8:70212981-70498473:-
70	sample1_nopolyA_ext70_cluster_5446	chr7	70599596	70599665	70:1	+	1	chr7	intron	70589814	70760174	+	.	NM_130880	Otud7a	Otud7a:chr7:70589658-70903913:+
70	sample1_nopolyA_ext70_cluster_5447	chr7	70628118	70628187	70:1	+	1	chr7	intron	70589814	70760174	+	.	NM_130880	Otud7a	Otud7a:chr7:70589658-70903913:+
71	sample1_nopolyA_ext70_cluster_859	chr11	70688912	70688982	1:11|69:14|1:3	+	14	chr11	intron	70688377	70698266	+	.	NM_019400	Rabep1	Rabep1:chr11:70658265-70756606:+
70	sample1_nopolyA_ext70_cluster_860	chr11	70714543	70714612	70:1	+	1	chr11	intron	70714110	70718106	+	.	NM_019400	Rabep1	Rabep1:chr11:70658265-70756606:+
71	sample1_nopolyA_ext70_cluster_5247	chr6	70719730	70719800	1:1|69:3|1:2	-	3	chr6	intron	70716643	70720987	-	.	NM_009075	Rpia	Rpia:chr6:70715714-70742169:-
70	sample1_nopolyA_ext70_cluster_2030	chr14	70740456	70740525	70:1	-	1	chr14	intron	70731174	70748129	-	.	NM_001135152	Slc39a14	Slc39a14:chr14:70703274-70751231:-
70	sample1_nopolyA_ext70_cluster_2030	chr14	70740456	70740525	70:1	-	1	chr14	intron	70731174	70751086	-	.	NM_001135151	Slc39a14	Slc39a14:chr14:70703274-70751231:-
70	sample1_nopolyA_ext70_cluster_2030	chr14	70740456	70740525	70:1	-	1	chr14	intron	70731174	70751086	-	.	NM_144808	Slc39a14	Slc39a14:chr14:70703274-70751231:-
70	sample1_nopolyA_ext70_cluster_2735	chr17	70888693	70888762	70:1	+	1	chr17	intron	70866337	70942506	+	.	NM_027712	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_2735	chr17	70888693	70888762	70:1	+	1	chr17	intron	70866337	70942506	+	.	NM_177639	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_2735	chr17	70888693	70888762	70:1	+	1	chr17	intron	70871603	70942506	+	.	NM_001128180	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_1728	chr13	70893365	70893434	70:4	-	4	chr13	intron	70892179	70902292	-	.	NM_172053	Adamts16	Adamts16:chr13:70866686-70980688:-
70	sample1_nopolyA_ext70_cluster_2736	chr17	70974497	70974566	70:3	+	3	chr17	intron	70942722	71006793	+	.	NM_001128180	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_2736	chr17	70974497	70974566	70:3	+	3	chr17	intron	70942722	71006793	+	.	NM_001128181	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_2736	chr17	70974497	70974566	70:3	+	3	chr17	intron	70942722	71006793	+	.	NM_027712	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_2736	chr17	70974497	70974566	70:3	+	3	chr17	intron	70942722	71006793	+	.	NM_177639	Dlgap1	Dlgap1:chr17:70774132-71170753:+
70	sample1_nopolyA_ext70_cluster_3407	chr2	71064136	71064205	70:1	+	1	chr2	intron	71057476	71066656	+	.	NM_010064	Dync1i2	Dync1i2:chr2:71050070-71101351:+
70	sample1_nopolyA_ext70_cluster_2031	chr14	71078235	71078304	70:2	-	2	chr14	intron	71077975	71081045	-	.	NM_023045	Xpo7	Xpo7:chr14:71054053-71166435:-
70	sample1_nopolyA_ext70_cluster_5983	chr8	71160676	71160745	70:1	-	1	chr8	intron	71081020	71169697	-	.	NM_172753	Csgalnact1	Csgalnact1:chr8:70880682-71259041:-
70	sample1_nopolyA_ext70_cluster_3656	chr2	71175147	71175216	70:1	-	1	chr2	intron	71171778	71181946	-	.	NM_172436	Slc25a12	Slc25a12:chr2:71112352-71205611:-
71	sample1_nopolyA_ext70_cluster_1869	chr14	71290366	71290436	1:1|69:2|1:1	+	2	chr14	5UTR	71289937	71290662	+	-1	NM_008115	Gfra2	Gfra2:chr14:71289937-71379645:+
71	sample1_nopolyA_ext70_cluster_1869	chr14	71290366	71290436	1:1|69:2|1:1	+	2	chr14	exon	71289937	71290701	+	0	NM_008115	Gfra2	Gfra2:chr14:71289937-71379645:+
70	sample1_nopolyA_ext70_cluster_1388	chr12	71380025	71380094	70:1	-	1	chr12	intron	71373455	71381542	-	.	NM_001110202	Trim9	Trim9:chr12:71345524-71448601:-
70	sample1_nopolyA_ext70_cluster_1388	chr12	71380025	71380094	70:1	-	1	chr12	intron	71373455	71381542	-	.	NM_001110203	Trim9	Trim9:chr12:71345524-71448601:-
70	sample1_nopolyA_ext70_cluster_1388	chr12	71380025	71380094	70:1	-	1	chr12	intron	71373455	71381542	-	.	NM_053167	Trim9	Trim9:chr12:71345524-71448601:-
70	sample1_nopolyA_ext70_cluster_2740	chr17	71386732	71386801	70:3	+	3	chr17	intron	71386714	71393825	+	.	NM_001083934	Myom1	Myom1:chr17:71368897-71476196:+
70	sample1_nopolyA_ext70_cluster_2740	chr17	71386732	71386801	70:3	+	3	chr17	intron	71386714	71393825	+	.	NM_010867	Myom1	Myom1:chr17:71368897-71476196:+
70	sample1_nopolyA_ext70_cluster_5814	chr8	71431010	71431079	70:1	+	1	chr8	1k_dn	71430832	71431831	+	.	NM_008509	Lpl	Lpl:chr8:71404454-71430831:+
70	sample1_nopolyA_ext70_cluster_6365	chr9	71595713	71595782	70:1	-	1	chr9	intron	71573890	71619315	-	.	NM_026599	Cgnl1	Cgnl1:chr9:71474316-71619409:-
70	sample1_nopolyA_ext70_cluster_3410	chr2	71674582	71674651	70:2	+	2	chr2	intron	71672128	71676324	+	.	NM_008397	Itga6	Itga6:chr2:71625140-71694815:+
70	sample1_nopolyA_ext70_cluster_4455	chr4	71786638	71786707	70:2	-	2	chr4	intron	71786054	71787221	-	.	NM_011599	Tle1	Tle1:chr4:71778176-71861953:-
70	sample1_nopolyA_ext70_cluster_5448	chr7	71797651	71797720	70:1	+	1	chr7	intron	71779971	71839909	+	.	NM_007461	Apba2	Apba2:chr7:71646592-71898762:+
70	sample1_nopolyA_ext70_cluster_5251	chr6	71857183	71857252	70:1	-	1	chr6	intron	71855138	71857646	-	.	NM_027275	Ptcd3	Ptcd3:chr6:71830632-71858756:-
70	sample1_nopolyA_ext70_cluster_3411	chr2	71860078	71860147	70:1	+	1	chr2	intron	71819409	71869089	+	.	NM_019688	Rapgef4	Rapgef4:chr2:71819344-72094433:+
70	sample1_nopolyA_ext70_cluster_3412	chr2	71977061	71977130	70:5	+	5	chr2	intron	71975372	71979209	+	.	NM_019688	Rapgef4	Rapgef4:chr2:71819344-72094433:+
70	sample1_nopolyA_ext70_cluster_536	chr10	72132268	72132337	70:1	+	1	chr10	3UTR	72130647	72132537	+	-1	NM_025635	Zwint	Zwint:chr10:72117643-72132537:+
70	sample1_nopolyA_ext70_cluster_536	chr10	72132268	72132337	70:1	+	1	chr10	exon	72130647	72132537	+	-1	NM_025635	Zwint	Zwint:chr10:72117643-72132537:+
70	sample1_nopolyA_ext70_cluster_3104	chr18	72422032	72422101	70:2	-	2	chr18	intron	72114729	72510009	-	.	NM_007831	Dcc	Dcc:chr18:71413286-72510723:-
70	sample1_nopolyA_ext70_cluster_4680	chr5	72439199	72439268	70:2	+	2	chr5	intron	72421149	72499546	+	.	NM_008069	Gabrb1	Gabrb1:chr5:72091255-72528483:+
70	sample1_nopolyA_ext70_cluster_2880	chr17	72479640	72479709	70:1	-	1	chr17	intron	72401208	72555136	-	.	NM_007439	Alk	Alk:chr17:72218328-72953647:-
70	sample1_nopolyA_ext70_cluster_310	chr1	72503219	72503288	70:3	-	3	chr1	intron	72499172	72581198	-	.	NM_001045533	March4	March4:chr1:72473686-72583138:-
47	sample1_nopolyA_ext70_cluster_6177	chr9	72560027	72560096	70:1	+	1	chr9	CDS	72559974	72560073	+	2	NM_010890	Nedd4	Nedd4:chr9:72510154-72597655:+
47	sample1_nopolyA_ext70_cluster_6177	chr9	72560027	72560096	70:1	+	1	chr9	exon	72559974	72560073	+	2	NM_010890	Nedd4	Nedd4:chr9:72510154-72597655:+
23	sample1_nopolyA_ext70_cluster_6177	chr9	72560027	72560096	70:1	+	1	chr9	intron	72560074	72566024	+	.	NM_010890	Nedd4	Nedd4:chr9:72510154-72597655:+
70	sample1_nopolyA_ext70_cluster_6178	chr9	72579358	72579427	70:1	+	1	chr9	intron	72579244	72580398	+	.	NM_010890	Nedd4	Nedd4:chr9:72510154-72597655:+
70	sample1_nopolyA_ext70_cluster_2881	chr17	72766584	72766653	70:8	-	8	chr17	intron	72729502	72952367	-	.	NM_007439	Alk	Alk:chr17:72218328-72953647:-
70	sample1_nopolyA_ext70_cluster_3663	chr2	72798570	72798639	70:4	-	4	chr2	intron	72784796	72808211	-	.	NM_001018042	Sp3	Sp3:chr2:72774490-72818503:-
70	sample1_nopolyA_ext70_cluster_3663	chr2	72798570	72798639	70:4	-	4	chr2	intron	72784796	72808211	-	.	NM_001098425	Sp3	Sp3:chr2:72774490-72818503:-
70	sample1_nopolyA_ext70_cluster_5816	chr8	72843638	72843707	70:2	+	2	chr8	intron	72842250	72845402	+	.	NM_001163282	Gdf1	Gdf1:chr8:72839674-72855486:+
70	sample1_nopolyA_ext70_cluster_5816	chr8	72843638	72843707	70:2	+	2	chr8	intron	72842250	72845402	+	.	NM_138647	Lass1	Lass1:chr8:72839674-72855486:+
70	sample1_nopolyA_ext70_cluster_2456	chr16	72881629	72881698	70:1	+	1	chr16	intron	72742698	72904874	+	.	NM_019413	Robo1	Robo1:chr16:72663394-73046345:+
70	sample1_nopolyA_ext70_cluster_5989	chr8	72962045	72962114	70:2	-	2	chr8	intron	72932911	72963331	-	.	NM_001004062	Crtc1	Crtc1:chr8:72906257-72963472:-
70	sample1_nopolyA_ext70_cluster_2034	chr14	72972341	72972410	70:1	-	1	chr14	intron	72971296	72973096	-	.	NM_207636	Fndc3a	Fndc3a:chr14:72937760-73109810:-
70	sample1_nopolyA_ext70_cluster_1236	chr12	73051003	73051072	70:1	+	1	chr12	intron	73048439	73052180	+	.	NM_026102	Daam1	Daam1:chr12:72932065-73093354:+
70	sample1_nopolyA_ext70_cluster_1236	chr12	73051003	73051072	70:1	+	1	chr12	intron	73048439	73052180	+	.	NM_172464	Daam1	Daam1:chr12:72932065-73093354:+
70	sample1_nopolyA_ext70_cluster_1237	chr12	73063177	73063246	70:2	+	2	chr12	intron	73060900	73072080	+	.	NM_026102	Daam1	Daam1:chr12:72932065-73093354:+
70	sample1_nopolyA_ext70_cluster_1237	chr12	73063177	73063246	70:2	+	2	chr12	intron	73060900	73072080	+	.	NM_172464	Daam1	Daam1:chr12:72932065-73093354:+
70	sample1_nopolyA_ext70_cluster_5451	chr7	73072756	73072825	70:1	+	1	chr7	CDS	73072702	73072845	+	0	NM_011048	Pcsk6	Pcsk6:chr7:73007022-73195272:+
